metric_name,description,base_unit,statistic,measurement_value,tag,tag_value,is_alert
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,new,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,runnable,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,blocked,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,terminated,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,timed-waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,new,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,runnable,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,blocked,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,terminated,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,timed-waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,new,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,runnable,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,blocked,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,terminated,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,timed-waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,new,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,runnable,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,blocked,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,terminated,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,timed-waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,new,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,runnable,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,blocked,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,terminated,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,timed-waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,new,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,runnable,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,blocked,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,terminated,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,timed-waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,new,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,runnable,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,blocked,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,terminated,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,timed-waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,new,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,runnable,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,blocked,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,terminated,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,timed-waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,new,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,runnable,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,blocked,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,terminated,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,timed-waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,new,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,runnable,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,blocked,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,terminated,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,timed-waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,new,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,runnable,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,blocked,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,terminated,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,timed-waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,new,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,runnable,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,blocked,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,terminated,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,timed-waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,new,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,runnable,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,blocked,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,terminated,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,timed-waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,new,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,runnable,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,blocked,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,terminated,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,timed-waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,new,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,runnable,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,blocked,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,terminated,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,timed-waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,new,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,runnable,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,blocked,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,terminated,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,timed-waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,new,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,runnable,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,blocked,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,terminated,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,timed-waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,new,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,runnable,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,blocked,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,terminated,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,timed-waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,new,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,runnable,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,blocked,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,terminated,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,timed-waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,new,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,runnable,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,blocked,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,waiting,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,terminated,False
jvm.threads.states,The current number of threads,threads,VALUE,28.0,state,timed-waiting,False
