metric_name,description,base_unit,statistic,measurement_value,tag,tag_value
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
jvm.classes.loaded,The number of classes that are currently loaded in the Java virtual machine,classes,VALUE,18025.0,,
